danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,album,disc_number,name,popularity,preview_url,track_number,uri,playlist_id,playlist,artist,artists_id,album_id
0.699,0.432,9,-19.998,1,0.938,0.511,0.0,0.972,0.526,106.885,0SOl7wbxcbQdrrxwBr67by,278586,1,"Just for Laughs - Premium, Vol. 49",1,No More Kids (Jfl 2018),14,https://p.scdn.co/mp3-preview/2ec63cfcabdae87ff9a5fa5631036f77d9d59fbc?cid=774b29d4f13844c495f206cafdad9c86,6,spotify:track:0SOl7wbxcbQdrrxwBr67by,5T54YmcS3PsSghWrqivfms,Speechiness,Dave Hughes,4JA528z1WZKb14n9f8CvdT,4KYDYEtOF5WIz6oH0BbiZ5
0.615,0.338,10,-15.637,1,0.957,0.196,0.0,0.245,0.474,73.295,34S8XnGj789aDuRPl75jYZ,273640,3,Wiersze Dla Dzieci,1,Lokomotywa,29,https://p.scdn.co/mp3-preview/6667a3a4172726bef015ea2f447a7575e8090673?cid=774b29d4f13844c495f206cafdad9c86,3,spotify:track:34S8XnGj789aDuRPl75jYZ,5T54YmcS3PsSghWrqivfms,Speechiness,Piotr Fronczewski,45gKB5AD7ADgQJUZNNPIXm AND 3ew0uaRaUYzDrhAJUySEzA,2IncUw8grSXH2oK337FnMZ
0.752,0.344,9,-15.987,1,0.951,0.803,0.0,0.886,0.648,84.429,23uoBzzHh8hPoswp8jy0Wc,151766,1,Lína langsokkur,1,Anna og Tommi hitta Línu,27,https://p.scdn.co/mp3-preview/a44de9f8d1cde942e10286aba0b7151abef0b455?cid=774b29d4f13844c495f206cafdad9c86,4,spotify:track:23uoBzzHh8hPoswp8jy0Wc,5T54YmcS3PsSghWrqivfms,Speechiness,Leikhópurinn Lína Langsokkur,2MfBflEwnCeU2UKkDJfcVs,08Y575qA5oyR2mUv5nzQ08
0.628,0.236,1,-15.592,1,0.946,0.479,0.0,0.195,0.489,81.786,4hVNovp2ywf9nnCEaH3JS9,420000,4,Pelle Svanslös,1,Pelle kommer till Uppsala,38,https://p.scdn.co/mp3-preview/2f560229b56af2cc3bc3b870cc4267dff714868d?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:4hVNovp2ywf9nnCEaH3JS9,5T54YmcS3PsSghWrqivfms,Speechiness,Pelle Svanslös,3Oz3v8eY3fK1dxw0Kg6Nbj,0JEAlrJtfPHypDFmHbuyxF
0.613,0.803,5,-8.572,0,0.894,0.749,0.0,0.732,0.513,134.378,1KUpGO52MptA0XNZGWcnVK,148000,5,Notes From The G.E.D. Section,1,Religion,0,,14,spotify:track:1KUpGO52MptA0XNZGWcnVK,5T54YmcS3PsSghWrqivfms,Speechiness,D.L. Hughley,6bw2w1Dfi7Dzv5tX42PmDc,3Uom9kf1dn2zI2CsXwNaKz
0.562,0.763,2,-12.473,0,0.933,0.858,0.0,0.964,0.457,131.523,4cV65SKGSnvUr7LNMrONwq,165067,1,An Audience With Billy Connolly,1,Ordinary People,29,https://p.scdn.co/mp3-preview/aa13f18a72f3324aab4922ddef90aefc2b7ff091?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:4cV65SKGSnvUr7LNMrONwq,5T54YmcS3PsSghWrqivfms,Speechiness,Billy Connolly,7ubX7CBZbkPM3O1m2WBBd8,3GHWsz3GsHXxqOpnJN4Zv9
0.569,0.501,2,-16.274,1,0.945,0.661,0.0,0.82,0.511,87.943,4kMjXfEp4QqkJEd1j2ne67,189062,5,Passive Aggressive Suicide Boy,1,My Motives,9,https://p.scdn.co/mp3-preview/34ed779db784b9eb553343a579e46fe7689de3cc?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:4kMjXfEp4QqkJEd1j2ne67,5T54YmcS3PsSghWrqivfms,Speechiness,Pete Johansson,12i863oQjqUogln9PdriZN,4hicmbSesrB3oxFnX9CGAi
0.678,0.377,10,-14.254,0,0.91,0.906,0.0,0.55,0.596,115.893,7862XC8i1wphnOtlspiSyA,569533,4,101 Dalmatians (Animated) [Storyteller],1,101 Dalmatians (Animated) - Storyteller,45,https://p.scdn.co/mp3-preview/5e6cbabb8de8f4c5287e46d63ab45ac9ef33401d?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:7862XC8i1wphnOtlspiSyA,5T54YmcS3PsSghWrqivfms,Speechiness,Michael Gough,1UUNseJdZHwfIUzoaGUD3l,62SOQWaxuV2EzQwyqOSOpQ
0.541,0.526,1,-18.49,1,0.913,0.835,0.0,0.731,0.0408,83.191,3sxQhRuaAi0hm0esOJOZBK,207293,5,What's That Clickin' Noise? (U.S. Version),1,What's That Clickin' Noise?,34,https://p.scdn.co/mp3-preview/d0b1f5ed47d55b95d5f7b61b736197a98a3b5127?cid=774b29d4f13844c495f206cafdad9c86,15,spotify:track:3sxQhRuaAi0hm0esOJOZBK,5T54YmcS3PsSghWrqivfms,Speechiness,Henry Cho,5cUNfnPT67XfaaI9LIkHOL,7jO0DhwUYPmUsSJ56lHcob
0.514,0.45,9,-14.254,0,0.95,0.871,0.0,0.729,0.576,192.689,46hBMeHz0KLgoq3CRDBOJl,162002,1,#Semehizofácil,1,Viviendo Lejos,22,https://p.scdn.co/mp3-preview/8936404bca5a5743a64677f7f5f360a50de3c942?cid=774b29d4f13844c495f206cafdad9c86,10,spotify:track:46hBMeHz0KLgoq3CRDBOJl,5T54YmcS3PsSghWrqivfms,Speechiness,Fran Hevia,2MgC3Q9jfzlVcRoXO9Oy36,1aJtUAyPNnyjHAOL8isj0A
0.632,0.737,6,-6.038,1,0.896,0.828,0.0,0.934,0.767,88.304,4mN6loCfMxQUWEr6zfzZg7,237507,3,I Am Not the Hero of This Story,1,Got My Hope,0,,3,spotify:track:4mN6loCfMxQUWEr6zfzZg7,5T54YmcS3PsSghWrqivfms,Speechiness,Jackie Kashian,06FYrXQiix8vRPUzyOPrAb,3wjdaTH8rm4R0DsGma6vRQ
0.59,0.727,4,-6.196,1,0.941,0.83,0.0,0.669,0.124,82.699,4QVW29iFW6EwdYLO2wxVHp,206627,3,Stark Raving Black,1,Democrats & Republicans,9,,2,spotify:track:4QVW29iFW6EwdYLO2wxVHp,5T54YmcS3PsSghWrqivfms,Speechiness,Lewis Black,6XloIaGQ9H1Nn37puBzQqm,7pUwSo9vd9CMnGlmEkq3Kj
