acousticness,album,album_id,artist,artists_id,danceability,disc_number,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,playlist,popularity,preview_url,speechiness,tempo,time_signature,track_number,uri,valence
0.511,"Just for Laughs - Premium, Vol. 49",4KYDYEtOF5WIz6oH0BbiZ5,Dave Hughes,4JA528z1WZKb14n9f8CvdT,0.699,1,278586,0.432,0SOl7wbxcbQdrrxwBr67by,0.0,9,0.972,-19.998,1,No More Kids (Jfl 2018),Speechiness,15,https://p.scdn.co/mp3-preview/2ec63cfcabdae87ff9a5fa5631036f77d9d59fbc?cid=774b29d4f13844c495f206cafdad9c86,0.938,106.885,1,6,spotify:track:0SOl7wbxcbQdrrxwBr67by,0.526
0.196,Wiersze Dla Dzieci,2IncUw8grSXH2oK337FnMZ,Piotr Fronczewski,45gKB5AD7ADgQJUZNNPIXm AND 3ew0uaRaUYzDrhAJUySEzA,0.615,1,273640,0.338,34S8XnGj789aDuRPl75jYZ,0.0,10,0.245,-15.637,1,Lokomotywa,Speechiness,24,https://p.scdn.co/mp3-preview/6667a3a4172726bef015ea2f447a7575e8090673?cid=774b29d4f13844c495f206cafdad9c86,0.957,73.295,3,3,spotify:track:34S8XnGj789aDuRPl75jYZ,0.474
0.803,Lína langsokkur,08Y575qA5oyR2mUv5nzQ08,Leikhópurinn Lína Langsokkur,2MfBflEwnCeU2UKkDJfcVs,0.752,1,151766,0.344,23uoBzzHh8hPoswp8jy0Wc,0.0,9,0.886,-15.987,1,Anna og Tommi hitta Línu,Speechiness,24,https://p.scdn.co/mp3-preview/eb8fac7e7145d876e835f687cf364ab7fedf8eb0?cid=774b29d4f13844c495f206cafdad9c86,0.951,84.429,1,4,spotify:track:23uoBzzHh8hPoswp8jy0Wc,0.648
0.479,Pelle Svanslös,0JEAlrJtfPHypDFmHbuyxF,Pelle Svanslös,3Oz3v8eY3fK1dxw0Kg6Nbj,0.628,1,420000,0.236,4hVNovp2ywf9nnCEaH3JS9,0.0,1,0.195,-15.592,1,Pelle kommer till Uppsala,Speechiness,34,https://p.scdn.co/mp3-preview/2f560229b56af2cc3bc3b870cc4267dff714868d?cid=774b29d4f13844c495f206cafdad9c86,0.946,81.786,4,2,spotify:track:4hVNovp2ywf9nnCEaH3JS9,0.489
0.749,Notes From The G.E.D. Section,3Uom9kf1dn2zI2CsXwNaKz,D.L. Hughley,6bw2w1Dfi7Dzv5tX42PmDc,0.613,1,148000,0.803,1KUpGO52MptA0XNZGWcnVK,0.0,5,0.732,-8.572,0,Religion,Speechiness,25,https://p.scdn.co/mp3-preview/1783c6449e6a3d16199d074da104a0d19e7600eb?cid=774b29d4f13844c495f206cafdad9c86,0.894,134.378,5,14,spotify:track:1KUpGO52MptA0XNZGWcnVK,0.513
0.858,An Audience With Billy Connolly,3GHWsz3GsHXxqOpnJN4Zv9,Billy Connolly,7ubX7CBZbkPM3O1m2WBBd8,0.562,1,165067,0.763,4cV65SKGSnvUr7LNMrONwq,0.0,2,0.964,-12.473,0,Ordinary People,Speechiness,28,https://p.scdn.co/mp3-preview/aa13f18a72f3324aab4922ddef90aefc2b7ff091?cid=774b29d4f13844c495f206cafdad9c86,0.933,131.523,1,2,spotify:track:4cV65SKGSnvUr7LNMrONwq,0.457
0.661,Passive Aggressive Suicide Boy,4hicmbSesrB3oxFnX9CGAi,Pete Johansson,12i863oQjqUogln9PdriZN,0.569,1,189062,0.501,4kMjXfEp4QqkJEd1j2ne67,0.0,2,0.82,-16.274,1,My Motives,Speechiness,4,https://p.scdn.co/mp3-preview/34ed779db784b9eb553343a579e46fe7689de3cc?cid=774b29d4f13844c495f206cafdad9c86,0.945,87.943,5,2,spotify:track:4kMjXfEp4QqkJEd1j2ne67,0.511
0.906,101 Dalmatians (Animated) [Storyteller],62SOQWaxuV2EzQwyqOSOpQ,Michael Gough,1UUNseJdZHwfIUzoaGUD3l,0.678,1,569533,0.377,7862XC8i1wphnOtlspiSyA,0.0,10,0.55,-14.254,0,101 Dalmatians (Animated) - Storyteller,Speechiness,39,https://p.scdn.co/mp3-preview/5e6cbabb8de8f4c5287e46d63ab45ac9ef33401d?cid=774b29d4f13844c495f206cafdad9c86,0.91,115.893,4,1,spotify:track:7862XC8i1wphnOtlspiSyA,0.596
0.835,What's That Clickin' Noise? (U.S. Version),7jO0DhwUYPmUsSJ56lHcob,Henry Cho,5cUNfnPT67XfaaI9LIkHOL,0.541,1,207293,0.526,3sxQhRuaAi0hm0esOJOZBK,0.0,1,0.731,-18.49,1,What's That Clickin' Noise?,Speechiness,29,https://p.scdn.co/mp3-preview/d0b1f5ed47d55b95d5f7b61b736197a98a3b5127?cid=774b29d4f13844c495f206cafdad9c86,0.913,83.191,5,15,spotify:track:3sxQhRuaAi0hm0esOJOZBK,0.0408
0.871,#Semehizofácil,1aJtUAyPNnyjHAOL8isj0A,Fran Hevia,2MgC3Q9jfzlVcRoXO9Oy36,0.514,1,162002,0.45,46hBMeHz0KLgoq3CRDBOJl,0.0,9,0.729,-14.254,0,Viviendo Lejos,Speechiness,20,https://p.scdn.co/mp3-preview/8936404bca5a5743a64677f7f5f360a50de3c942?cid=774b29d4f13844c495f206cafdad9c86,0.95,192.689,1,10,spotify:track:46hBMeHz0KLgoq3CRDBOJl,0.576
