acousticness,album,album_id,artist,artists_id,danceability,disc_number,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,playlist,popularity,preview_url,speechiness,tempo,time_signature,track_number,uri,valence
0.782,Holst: The Planets,5a5eHBTZbbHPSTnQo5PNKz,Matthias Pintscher,69vvuLr29oiG02SjKP7fdO AND 4GQwgdcDQwqtcHICjUNndp AND 6uRJnvQ3f8whVnmeoecv5Z,0.159,2,475520,0.124,2UEqfKWMx8SkbCQ9qLADW5,0.0323,1,0.111,-28.571,1,towards Osiris,The Sound of Everything,12,https://p.scdn.co/mp3-preview/3ce785dda735c0b65b5509cfcb64719ce266305b?cid=774b29d4f13844c495f206cafdad9c86,0.057,85.648,4,2,spotify:track:2UEqfKWMx8SkbCQ9qLADW5,0.0518
0.881,Cycle of the Sun (432hz) - Single,6NYkKlhbJboTvPZIjOoM1H,Marc Van Mourik,7s9gWdUK3IXsvkQP58Es4H,0.452,1,576000,0.181,0WuuVfq5e2Zg1aaQzrJlxX,0.941,9,0.0678,-20.949,0,Cycle of the Sun (432hz),The Sound of Everything,36,https://p.scdn.co/mp3-preview/cd10ea3f01870ced4031547ea647fbfd19371747?cid=774b29d4f13844c495f206cafdad9c86,0.029,109.98,4,1,spotify:track:0WuuVfq5e2Zg1aaQzrJlxX,0.0847
0.446,青春時計 (Special Edition),29JvLdMNnWQI5UGVB0iXoS,NGT48,4wZjP2p0Sm5EHM32uuAgGf,0.694,1,208467,0.761,62bPGqh8IYBpVOzxIxkrXA,0.0,5,0.289,-4.087,0,青春時計,The Sound of Everything,27,https://p.scdn.co/mp3-preview/e54803cd1cb152bc26d3f05a950e9922d1b54226?cid=774b29d4f13844c495f206cafdad9c86,0.0372,114.947,4,1,spotify:track:62bPGqh8IYBpVOzxIxkrXA,0.55
0.149,Super Power Club: 8-Bit Tribute to Modern Rock Hits,18WSrQcRdR0z4qrTUJOpQd,Super Power Club,5vGR79cM4EqZxXgvcExy7f,0.646,1,147587,0.279,3MTLncsF4tzTICc05bM034,0.915,4,0.0993,-3.575,1,Seven Nation Army,The Sound of Everything,22,https://p.scdn.co/mp3-preview/b51b3d351309c949b9828a6a4ff61b75af4b7073?cid=774b29d4f13844c495f206cafdad9c86,0.0545,120.063,4,4,spotify:track:3MTLncsF4tzTICc05bM034,0.715
0.796,The Rainmaker,6vJzdqNvW1iXfLcf4xk8tc,8D Relaxium,7pCXlFE9vYXwBXDGOu1PvC,0.116,1,220098,0.385,3PktRumVqG6IUCxQJTd1cx,0.97,10,0.364,-20.442,0,Enter the Rain,The Sound of Everything,33,https://p.scdn.co/mp3-preview/6e32152ba0d2380501a97e70c5d198cc95be7931?cid=774b29d4f13844c495f206cafdad9c86,0.0398,86.502,4,1,spotify:track:3PktRumVqG6IUCxQJTd1cx,0.0992
0.109,Reboot,3pz7DuRGCZ6lTq0NzRs7MR,Tufts Beelzebubs,4VsNVAxuPxZrJMWE2Tprtq,0.707,1,232292,0.549,5H8R0llXeLDKXol9LHK1uD,0.0,1,0.0648,-6.996,1,Who Do You Love,The Sound of Everything,40,https://p.scdn.co/mp3-preview/e4c36f77a2dbfe5207b8c3bfd0c9e3443583ce18?cid=774b29d4f13844c495f206cafdad9c86,0.0383,106.967,4,3,spotify:track:5H8R0llXeLDKXol9LHK1uD,0.531
0.0229,Act! Addict! Actors!,1FsYzmUDEFHOmAoymlGDZK,A3ders!,4mAab1tXVGXGgmqt4Sbbkv,0.471,1,224187,0.977,71bCzyoEyJYw2A7qN1FBk7,0.0,10,0.341,-3.556,1,Act! Addict! Actors!,The Sound of Everything,32,https://p.scdn.co/mp3-preview/a8bf1ae74716fa5caf64bdd8f94ae6ceb0e4aea9?cid=774b29d4f13844c495f206cafdad9c86,0.065,172.108,4,1,spotify:track:71bCzyoEyJYw2A7qN1FBk7,0.713
0.683,Hifalutin,4ko6ecNnYMliJ7Aon2ckdS,Lowly,721bfjbiX9Koqt2rO8PWOY,0.564,1,267478,0.415,2sDurGdooRkMxYRGfRvPdn,0.317,10,0.127,-7.735,1,baglaens,The Sound of Everything,43,https://p.scdn.co/mp3-preview/d617936e38324100d6264e834e0d792f7041ec4a?cid=774b29d4f13844c495f206cafdad9c86,0.0399,170.057,4,3,spotify:track:2sDurGdooRkMxYRGfRvPdn,0.232
0.115,Where Have All My Friends Gone? Vol. 1,2FdsS5crxdySNrJ4RXxFhO,CS Buchan,67APAb5koApe2MuMAr4Li5,0.589,1,121875,0.23,6snNiTcJgu6K6iv2kwmvfg,0.00192,9,0.0653,-11.043,1,Watching Over,The Sound of Everything,4,https://p.scdn.co/mp3-preview/9ad1b5fa0cba29bed01a94f731225dfb47517c16?cid=774b29d4f13844c495f206cafdad9c86,0.0303,80.006,4,11,spotify:track:6snNiTcJgu6K6iv2kwmvfg,0.448
0.00201,Vajradhara,1elLQfG6Ev4Fi0IXS93RMu,Koutaro Fukui,5rJV1bF4VFGgKHpYtWbC9H,0.583,1,354395,0.727,1Z4RaM5UoI5TjmrxgQ7QxF,0.872,10,0.0501,-14.677,0,Clsng,The Sound of Everything,0,,0.0852,180.028,3,6,spotify:track:1Z4RaM5UoI5TjmrxgQ7QxF,0.154
0.947,Yawn Zen,5UNxfgrTnkQeVxFSdkAbCp,Mndsgn,4GcpBLY8g8NrmimWbssM26,0.594,1,152985,0.304,6AQobWDXD64OnrlmIeZaja,0.198,9,0.0933,-15.353,0,Camelblues,The Sound of Everything,48,https://p.scdn.co/mp3-preview/d4533cbb62ebfc1f4192c2631abdf11add18f883?cid=774b29d4f13844c495f206cafdad9c86,0.029,79.994,4,8,spotify:track:6AQobWDXD64OnrlmIeZaja,0.13
