acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence
0.33399999999999996,0.2705,0.4208,0.0,0.1462,0.913,0.166382,0.0204
0.33199999999999996,0.295,0.5816,0.0,0.1338,0.9410000000000001,0.165398,0.062
0.028000000000000004,0.1555,0.44000000000000006,0.01484,0.0234,0.834,0.167056,0.0334
0.32839999999999997,0.2345,0.5456000000000001,0.0,0.16140000000000002,0.925,0.15681,0.1425
0.2044,0.3495,0.3456,0.0,0.1944,0.938,0.21377000000000002,0.263
0.32120000000000004,0.376,0.2752,0.0,0.1772,0.951,0.168858,0.324
0.2644,0.2845,0.4008,0.0,0.16399999999999998,0.945,0.175886,0.2555
0.3624,0.339,0.3016,0.0,0.11000000000000001,0.9099999999999999,0.231786,0.298
0.3484,0.257,0.36,0.0,0.14579999999999999,0.95,0.385378,0.288
0.3872,0.3105,0.31120000000000003,0.0,0.134,0.9350000000000002,0.269954,0.227
0.22280000000000003,0.3625,0.3488,0.0,0.1116,0.924,0.24487,0.2065
0.0868,0.338,0.4088,0.0,0.0602,0.905,0.274138,0.332
0.3084,0.3145,0.37839999999999996,0.0,0.045,0.9480000000000001,0.21959399999999998,0.2625
0.3952,0.265,0.3896,0.000536,0.041999999999999996,0.9280000000000002,0.410292,0.3185
0.3756,0.3465,0.2408,0.0,0.0246,0.9490000000000001,0.18121199999999998,0.298
0.3396,0.352,0.288,0.0,0.1454,0.901,0.22048799999999996,0.271
0.3872,0.327,0.3336,8.000000000000001e-06,0.1748,0.9259999999999999,0.27211799999999997,0.2825
0.3136,0.3275,0.2952,0.0,0.01482,0.9469999999999998,0.167686,0.151
0.26680000000000004,0.3445,0.28159999999999996,0.0,0.0744,0.944,0.17093799999999998,0.2725
0.3956,0.341,0.2864,2.2399999999999997e-06,0.1842,0.945,0.28510399999999997,0.2555
0.374,0.2695,0.2384,0.0,0.0624,0.9480000000000001,0.14852,0.20749999999999996
0.2996,0.3065,0.6424000000000001,0.0,0.1464,0.8939999999999999,0.268756,0.2565
0.3432,0.281,0.6104,0.0,0.1928,0.933,0.263046,0.2285
0.3312,0.316,0.5896,0.0,0.18680000000000002,0.8960000000000001,0.17660800000000001,0.3835
0.3564,0.3085,0.46319999999999995,0.0,0.145,0.9410000000000001,0.202588,0.2265
0.37160000000000004,0.3,0.6144000000000001,0.0,0.087,0.946,0.173072,0.215
0.3652,0.3165,0.5352,0.0,0.1692,0.942,0.167138,0.3315
0.1696,0.329,0.4856,0.0,0.0538,0.76,0.169328,0.3865
0.3272,0.3235,0.5336000000000001,0.0,0.1236,0.8550000000000001,0.180992,0.2705
0.39239999999999997,0.364,0.5168,0.0,0.13779999999999998,0.821,0.320338,0.3465
0.3156,0.2555,0.6968,0.0,0.13779999999999998,0.924,0.20665,0.172
0.37679999999999997,0.362,0.612,0.0,0.13740000000000002,0.76,0.227378,0.2755
0.3424,0.307,0.6264000000000001,0.0,0.0968,0.944,0.15971000000000002,0.32
0.318,0.3065,0.1744,0.3544,0.0222,0.0366,0.164742,0.3175
0.298,0.41950000000000004,0.1864,0.2984,0.020999999999999998,0.0414,0.251194,0.389
0.3352,0.3565,0.27759999999999996,0.3748,0.0222,0.0576,0.168014,0.186
0.1872,0.385,0.2832,0.3572,0.022,0.0333,0.21975800000000004,0.219
0.00152,0.2665,0.45439999999999997,0.3308,0.040600000000000004,0.0364,0.27528800000000003,0.3145
0.3816,0.2735,0.2848,0.3668,0.01782,0.0366,0.16206399999999999,0.252
0.3144,0.433,0.2736,0.09240000000000001,0.0356,0.05269999999999999,0.250854,0.05750000000000001
