danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,disc_number,name,popularity,preview_url,track_number,uri,playlist,artists_id,album_id
0.68,0.813,1,-5.672,1,0.0379,0.00168,5.74e-05,0.081,0.915,120.03,1VfhO1GZsZmVrVWRP84iQK,234653,4,1,Me Me Me - Trentemøller Remix,26,https://p.scdn.co/mp3-preview/9b01373337dd2be0f9a054a31f0346e911694176?cid=774b29d4f13844c495f206cafdad9c86,9,spotify:track:1VfhO1GZsZmVrVWRP84iQK,dataset,"1wNYYqNhLKSdj2cIqp2B9V,0dCl6yIctSSX7XqDTG0vED,4O71i7ke5iIBX6RNSFoZbS",7JggdVIipgSShK1uk7N1hP
0.481,0.392,1,-11.381,1,0.0312,0.366,0.0452,0.124,0.52,124.572,5YSI1311X8t31PBjkBG4CZ,269067,4,1,Wuthering Heights,72,https://p.scdn.co/mp3-preview/3aaf3ec1603f1f8c9a8b2c5925bcff0319790a5b?cid=774b29d4f13844c495f206cafdad9c86,6,spotify:track:5YSI1311X8t31PBjkBG4CZ,dataset,1aSxMhuvixZ8h9dK9jIDwL,5NKTuBLCYhN0OwqFiGdXd1
0.378,0.425,0,-12.747,1,0.0783,0.439,0.00824,0.256,0.443,167.149,30XCZtcaWi6PkSZ66PQmAG,192453,4,1,Gambale Twist,15,https://p.scdn.co/mp3-preview/0041ed4ecf8cbf4270a466b8e9d789a19cfc65cd?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:30XCZtcaWi6PkSZ66PQmAG,dataset,0bwaKyQeHXTyMkDouMZ9zs,0T5C5nZUcMAqpOSLucDC6n
0.448,0.407,0,-12.328,1,0.0352,0.86,0.728,0.108,0.0392,80.056,3idW7jNh4PIftLfF9SyNhw,143107,4,1,Uf,0,https://p.scdn.co/mp3-preview/7b3d5d799c4e04a82ea263f358ce0dcc53c4dba4?cid=774b29d4f13844c495f206cafdad9c86,6,spotify:track:3idW7jNh4PIftLfF9SyNhw,dataset,"1FcH3hHeVuLnWNZnwQq29l,2rHPaRrsgoK3ixbLV8dhs2,6iCQomJORy2bN4R47rVTvP,24bcqIDy1kxGa9uTlSGe5x,2wpMuVMZaaCcJF1ulE60pQ,6Cvy4erQUG2CcOR3FSDN8U",0ab5JnF8emGteBhcsLQPtz
0.435,0.415,1,-12.636,0,0.0392,0.954,0.838,0.115,0.232,127.456,3r6csKVvkylpvLiIWdRZul,142693,5,1,M'ag o m'ad as,0,https://p.scdn.co/mp3-preview/5239c08e7cff1206987d91d36ab08dc540bd74d4?cid=774b29d4f13844c495f206cafdad9c86,13,spotify:track:3r6csKVvkylpvLiIWdRZul,dataset,"1FcH3hHeVuLnWNZnwQq29l,2A96gxja8kD56yL7PsDoEE,3TOsLT7R03JCAhMNADcfW0",0ab5JnF8emGteBhcsLQPtz
0.701,0.713,4,-5.504,0,0.0305,0.798,0.067,0.107,0.607,112.029,6CsZ8xGaV6mA1YnNNy37ID,252373,4,1,Candu bolis,0,https://p.scdn.co/mp3-preview/c7680eb4a30a6e70f3ae2b5c41335e083a971550?cid=774b29d4f13844c495f206cafdad9c86,8,spotify:track:6CsZ8xGaV6mA1YnNNy37ID,dataset,"6ZAsAC5g3ijGHPCstECRkX,1wIPlER7isDabOSJw0bhAk,0SonizLa38tbB4kLIFlXdi,1FcH3hHeVuLnWNZnwQq29l",0bMqrWz11OVKWS9uQgJmEi
0.729,0.863,7,-4.935,1,0.0318,0.0338,0.0251,0.0803,0.584,123.967,6pIufrldS0ObdSuOKhZv6V,190040,4,1,Mala manera,1,https://p.scdn.co/mp3-preview/0d2a84ebad129d90e9a0fc4d0bb2a51d34afda2b?cid=774b29d4f13844c495f206cafdad9c86,3,spotify:track:6pIufrldS0ObdSuOKhZv6V,dataset,"6ZAsAC5g3ijGHPCstECRkX,1wIPlER7isDabOSJw0bhAk,0SonizLa38tbB4kLIFlXdi,1FcH3hHeVuLnWNZnwQq29l",0bMqrWz11OVKWS9uQgJmEi
0.712,0.908,0,-5.85,1,0.205,0.0932,3.59e-05,0.665,0.96,170.032,4Q0PgkvAVtgoeVXYlBW5bD,199773,4,1,Chi no dd'acabu,1,https://p.scdn.co/mp3-preview/7f582d39001cfb7a3648707db23d95054dd95211?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:4Q0PgkvAVtgoeVXYlBW5bD,dataset,"6ZAsAC5g3ijGHPCstECRkX,1wIPlER7isDabOSJw0bhAk,0SonizLa38tbB4kLIFlXdi,1FcH3hHeVuLnWNZnwQq29l",0bMqrWz11OVKWS9uQgJmEi
0.675,0.355,2,-15.406,1,0.0488,0.578,4.16e-05,0.176,0.531,123.994,6p8NN93z7Z9AoLXUoGpdGP,245547,4,1,Wisky Birra e Johnny Cola,8,https://p.scdn.co/mp3-preview/acfbf7312940cd0ed4fd2a8451f63883886a05fa?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:6p8NN93z7Z9AoLXUoGpdGP,dataset,0bwaKyQeHXTyMkDouMZ9zs,4FAAuILSwtbCxMntAyVCRR
0.672,0.441,4,-9.64,1,0.0328,0.426,0.000511,0.321,0.963,129.591,5ArWMqAtHn7BX1dszMzU82,121520,4,1,Non ho dormito mai,8,https://p.scdn.co/mp3-preview/aab209659aef524f8a5a1293a3bfbc3134407eae?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:5ArWMqAtHn7BX1dszMzU82,dataset,0bwaKyQeHXTyMkDouMZ9zs,4FAAuILSwtbCxMntAyVCRR
