acousticness,album_id,artists_id,danceability,disc_number,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,playlist,popularity,preview_url,speechiness,tempo,time_signature,track_number,uri,valence
0.782,5a5eHBTZbbHPSTnQo5PNKz,"69vvuLr29oiG02SjKP7fdO,4GQwgdcDQwqtcHICjUNndp,6uRJnvQ3f8whVnmeoecv5Z",0.159,2,475520,0.124,2UEqfKWMx8SkbCQ9qLADW5,0.0323,1,0.111,-28.571,1,towards Osiris,The Sound of Everything,12,https://p.scdn.co/mp3-preview/3ce785dda735c0b65b5509cfcb64719ce266305b?cid=774b29d4f13844c495f206cafdad9c86,0.057,85.648,4,2,spotify:track:2UEqfKWMx8SkbCQ9qLADW5,0.0518
0.881,6NYkKlhbJboTvPZIjOoM1H,7s9gWdUK3IXsvkQP58Es4H,0.452,1,576000,0.181,0WuuVfq5e2Zg1aaQzrJlxX,0.941,9,0.0678,-20.949,0,Cycle of the Sun (432hz),The Sound of Everything,36,https://p.scdn.co/mp3-preview/cd10ea3f01870ced4031547ea647fbfd19371747?cid=774b29d4f13844c495f206cafdad9c86,0.029,109.98,4,1,spotify:track:0WuuVfq5e2Zg1aaQzrJlxX,0.0847
0.446,29JvLdMNnWQI5UGVB0iXoS,4wZjP2p0Sm5EHM32uuAgGf,0.694,1,208467,0.761,62bPGqh8IYBpVOzxIxkrXA,0.0,5,0.289,-4.087,0,青春時計,The Sound of Everything,27,https://p.scdn.co/mp3-preview/e54803cd1cb152bc26d3f05a950e9922d1b54226?cid=774b29d4f13844c495f206cafdad9c86,0.0372,114.947,4,1,spotify:track:62bPGqh8IYBpVOzxIxkrXA,0.55
0.149,18WSrQcRdR0z4qrTUJOpQd,5vGR79cM4EqZxXgvcExy7f,0.646,1,147587,0.279,3MTLncsF4tzTICc05bM034,0.915,4,0.0993,-3.575,1,Seven Nation Army,The Sound of Everything,22,https://p.scdn.co/mp3-preview/b51b3d351309c949b9828a6a4ff61b75af4b7073?cid=774b29d4f13844c495f206cafdad9c86,0.0545,120.063,4,4,spotify:track:3MTLncsF4tzTICc05bM034,0.715
0.402,5MVRwpfVPvD3eII94UscTs,0r74RhZvEUGrewOuOG5W5w,0.699,1,153954,0.365,5LGWySQ2UWLh8oATzHI3nJ,0.0921,3,0.106,-13.522,1,Havana - 8D Tunes,The Sound of Everything,35,https://p.scdn.co/mp3-preview/6fda4b3ecddf31ea8421eb9907ceaae7c24c0b8e?cid=774b29d4f13844c495f206cafdad9c86,0.0301,110.013,4,6,spotify:track:5LGWySQ2UWLh8oATzHI3nJ,0.389
0.791,4dt8SuN0OuJzBITTMhrU78,4lEFWJCOBV28nMF30Kqr9p,0.322,1,253074,0.412,6ua8pvRnNpLn5F9Vv4uFwo,0.0,5,0.0948,-10.361,1,Little Lion Man,The Sound of Everything,28,https://p.scdn.co/mp3-preview/5e211d04e44dd94c433ddbd69452c48c5a41b4fb?cid=774b29d4f13844c495f206cafdad9c86,0.0448,139.554,4,8,spotify:track:6ua8pvRnNpLn5F9Vv4uFwo,0.234
0.124,4wfAkeE04rz5KflrwYW75N,4mAab1tXVGXGgmqt4Sbbkv,0.416,1,207293,0.963,0INHmCFlkg3oI1vSlonQ0C,0.0,5,0.197,-2.937,1,Circle of Seasons,The Sound of Everything,33,https://p.scdn.co/mp3-preview/ff8b19c27b0125c15d7124d037a5d4b50fac78e1?cid=774b29d4f13844c495f206cafdad9c86,0.0664,167.918,4,1,spotify:track:0INHmCFlkg3oI1vSlonQ0C,0.766
0.683,4ko6ecNnYMliJ7Aon2ckdS,721bfjbiX9Koqt2rO8PWOY,0.564,1,267478,0.415,2sDurGdooRkMxYRGfRvPdn,0.317,10,0.127,-7.735,1,baglaens,The Sound of Everything,43,https://p.scdn.co/mp3-preview/d617936e38324100d6264e834e0d792f7041ec4a?cid=774b29d4f13844c495f206cafdad9c86,0.0399,170.057,4,3,spotify:track:2sDurGdooRkMxYRGfRvPdn,0.232
0.115,2FdsS5crxdySNrJ4RXxFhO,67APAb5koApe2MuMAr4Li5,0.589,1,121875,0.23,6snNiTcJgu6K6iv2kwmvfg,0.00192,9,0.0653,-11.043,1,Watching Over,The Sound of Everything,2,https://p.scdn.co/mp3-preview/9ad1b5fa0cba29bed01a94f731225dfb47517c16?cid=774b29d4f13844c495f206cafdad9c86,0.0303,80.006,4,11,spotify:track:6snNiTcJgu6K6iv2kwmvfg,0.448
0.00201,1elLQfG6Ev4Fi0IXS93RMu,5rJV1bF4VFGgKHpYtWbC9H,0.583,1,354395,0.727,1Z4RaM5UoI5TjmrxgQ7QxF,0.872,10,0.0501,-14.677,0,Clsng,The Sound of Everything,0,,0.0852,180.028,3,6,spotify:track:1Z4RaM5UoI5TjmrxgQ7QxF,0.154
