acousticness,album_id,artists_id,danceability,disc_number,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,playlist,popularity,speechiness,tempo,time_signature,track_number,valence
0.11,6ehMwGARrrgvrOpyHAV1LA,"1moxjboGR7GNWYIMWsRjgG,3iOvXCl6edW5Um0fXEBRXy,7A0awCXkE1FtSU8B0qwOJQ",0.702,1,342990,0.502,59Y2GLn55BVjX3UTMUDtTP,0.459,0,0.0846,-7.439,1,You've Got The Love - Jamie xx Rework,000 - HOT // WAITING ROOM,53,0.098,129.991,4,1,0.383
1.37e-05,3M4VWKkUdwCBaPOUzXyYPB,5w7TOAEvABipEVEyVPdB6u,0.625,1,359394,0.607,25X7p8WcAWele1bDFGtZ9A,0.799,9,0.0946,-12.677,1,Fall Into Sin,000 - HOT // WAITING ROOM,6,0.0341,99.985,4,3,0.171
0.0158,0bOxQkMO65N7QoNALqq5H5,3ZJxEmjYZd5VOqZ8o3aXiL,0.788,1,178907,0.491,7pI31mg1XsAPJCB6gQJSxK,0.802,0,0.0824,-8.537,1,PULL UP,000 - HOT // WAITING ROOM,53,0.0516,119.992,4,5,0.724
0.00338,3ngcrybWz1fUixAjS1ggl3,4HwlolvniI44ETSg5tajeZ,0.614,1,507369,0.866,5g1PPfVJKxaTweGxJhgnue,0.899,6,0.116,-9.781,0,Sex,000 - HOT // WAITING ROOM,29,0.041,132.983,4,5,0.0523
0.0444,4DKAJlf6YGZ1c1yCp21bMp,1WFsBUAgQmrGQQEUyFKS60,0.692,1,368755,0.84,2UGLwTvRN0CHLAhVlcBjCs,0.634,2,0.149,-9.187,0,Surrender (Trentemøller Remix),000 - HOT // WAITING ROOM,33,0.0443,125.007,4,1,0.264
0.207,5QoHqZSGAOqGuVCo07iB27,1ZxriNuHn6Upjf3U97nnUN,0.68,1,200000,0.443,4Gh5p6qVldP5iWAUIPL9h4,0.841,10,0.111,-9.701,0,Baby Laxmi,000 - HOT // WAITING ROOM,12,0.0306,85.416,4,5,0.179
0.0302,4aveS935cOYHDIGnb2RT5M,2a0uxJgbvvIRI4GX8pYfcr,0.561,1,208427,0.71,7EpIQMbA2H60yd0ARWVinV,0.0,1,0.122,-4.676,1,Must Be,000 - HOT // WAITING ROOM,0,0.351,99.011,4,11,0.618
0.0324,0nSzBICzQHea8grwfqa5Gb,7MhMgCo0Bl0Kukl93PZbYS,0.803,1,299133,0.722,61JDaStnXY3vbaEjliB5WA,0.00264,2,0.0763,-6.421,1,Ghost Ship,000 - HOT // WAITING ROOM,65,0.0377,139.981,4,9,0.857
0.197,1WwZwdTICfaZI51BIIEN9z,2AR42Ur9PcchQDtEdwkv4L,0.711,1,353680,0.646,5pB9UH5jW7eO51T5mrat4D,0.894,1,0.0845,-11.706,1,Last Bloom,000 - HOT // WAITING ROOM,41,0.0584,135.018,4,2,0.138
0.0024,33efhm9KDfrsTq3S5CV9Ve,44F8g3iM4NgU5cisocTlTQ,0.736,1,388226,0.581,4tNw88hSA2aCKMLcNi0LgY,0.91,1,0.0989,-12.652,1,Walls Of Jericho,000 - HOT // WAITING ROOM,2,0.0431,120.016,4,3,0.0266
